Categoria,Palabra_Frase,Tipo,Icono_Visual,URL_Pictograma
Núcleo,Yo,Pronombre,🧍,PENDIENTE
Núcleo,Tú,Pronombre,👉,PENDIENTE
Núcleo,Él / Ella,Pronombre,👤,PENDIENTE
Núcleo,Nosotros,Pronombre,🫂,PENDIENTE
Núcleo,Quiero,Verbo,🤲,PENDIENTE
Núcleo,No quiero,Verbo/Negación,🙅,PENDIENTE
Núcleo,Más,Adverbio,➕,PENDIENTE
Núcleo,Se acabó / Fin,Expresión,🛑,PENDIENTE
Núcleo,Ayuda,Verbo,🤝,PENDIENTE
Núcleo,Ir,Verbo,➡️,PENDIENTE
Núcleo,Parar,Verbo,✋,PENDIENTE
Núcleo,Gustar,Verbo,👍,PENDIENTE
Núcleo,No gustar,Verbo,👎,PENDIENTE
Núcleo,Poner,Verbo,📥,PENDIENTE
Núcleo,Quitar,Verbo,📤,PENDIENTE
Núcleo,Dar,Verbo,🫴,PENDIENTE
Núcleo,Tomar / Coger,Verbo,✊,PENDIENTE
Núcleo,Abrir,Verbo,👐,PENDIENTE
Núcleo,Cerrar,Verbo,🤏,PENDIENTE
Núcleo,Aquí,Ubicación,👇,PENDIENTE
Núcleo,Allí,Ubicación,👆,PENDIENTE
Núcleo,Ahora,Tiempo,⏱️,PENDIENTE
Núcleo,Después,Tiempo,⏳,PENDIENTE
Núcleo,Qué,Pregunta,❓,PENDIENTE
Básicos,Sí,Afirmación,✅,PENDIENTE
Básicos,No,Negación,❌,PENDIENTE
Básicos,Hola,Saludo,👋,PENDIENTE
Básicos,Adiós,Despedida,👋,PENDIENTE
Básicos,Por favor,Cortesía,🙏,PENDIENTE
Básicos,Gracias,Cortesía,🫂,PENDIENTE
Básicos,Perdón,Cortesía,🙇,PENDIENTE
Básicos,¿Cómo estás?,Interacción,💬,PENDIENTE
Básicos,Bien,Estado,👍,PENDIENTE
Básicos,Mal,Estado,👎,PENDIENTE
Básicos,Baño / Retrete,Necesidad,🚽,PENDIENTE
Básicos,Dormir,Necesidad,🛌,PENDIENTE
Básicos,Lavarse,Rutina,🧼,PENDIENTE
Básicos,Vestirse,Rutina,👕,PENDIENTE
Básicos,Esperar,Rutina,✋,PENDIENTE
Básicos,Mi turno,Interacción,🎲,PENDIENTE
Básicos,No sé,Expresión,🤷,PENDIENTE
Emociones,Feliz,Emoción,😀,PENDIENTE
Emociones,Triste,Emoción,😢,PENDIENTE
Emociones,Enfadado,Emoción,😠,PENDIENTE
Emociones,Asustado,Emoción,😨,PENDIENTE
Emociones,Cansado,Emoción,🥱,PENDIENTE
